85.9433	25674.7	17.1765	395.916
169.889	43286.4	7.48548	339.382
189.755	191540	26.3564	1339.74
286.501	332595	20.167	1544.28
316.287	262587	13.0889	1105.45
334.719	832416	36.8806	3303.84
434.143	86119.7	2.28576	264.535
496.13	1.13861e+06	23.0577	3055.26
536.93	1.69032e+06	29.2118	4190.01
578.955	1.54222e+06	22.9449	3547.07
668.164	1.3085e+06	14.6337	2609.26
746.234	5081.66	0.0459798	9.10768
806.542	1.83931e+06	14.1211	3038.89
884.939	3.90477e+06	24.8845	5877.81
975.368	2.13053e+06	11.1891	2911.35
1033.51	324291	1.51798	418.361
1068.03	1.44032e+06	6.31099	1797.76
1146.87	5.67918e+06	21.5618	6598.41
1208.43	4.1919e+06	14.3416	4623.36
1281.27	2.30528e+06	7.01878	2398.53
1348.01	876717	2.41222	867.14
1443.72	1.51819e+07	36.3585	14009.4
1520.52	1.13602e+07	24.5418	9956.35
1533.79	1.61607e+07	34.297	14038.2
1613.61	1.09962e+07	21.0979	9082.27
1663.28	5.61176e+06	10.1383	4497.65
1678.04	9.89486e+06	17.5579	7859.49
1706.31	1.17477e+07	20.159	9176.26
1795.33	2.3928e+07	37.0674	17758.4
1892.61	4.48638e+06	6.26115	3160.3
1961.73	5.11492e+06	6.6441	3476.09
